Timestamp,t_ns,source,t_rx_ns,t_unity_ns,offset_ns,seq,label,detail
2026-09-21 21:50:50.481398500,1790027450481398500,unity+offset,1790027450486601400,1790027449838215700,643182800,69,rest_start,reason=after_gesture;trial=10;rep=2;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:50:55.484661600,1790027455484661600,unity+offset,1790027455489273600,1790027454841214400,643447200,70,gesture_show,trial=11;rep=2;gesture_idx=3;gesture=Triste
2026-09-21 21:50:55.484781100,1790027455484781100,unity+offset,1790027455489734500,1790027454841333900,643447200,71,countdown_3,trial=11;rep=2;gesture_idx=3;gesture=Triste
2026-09-21 21:50:56.486526300,1790027456486526300,unity+offset,1790027456489952000,1790027455843079100,643447200,72,countdown_2,trial=11;rep=2;gesture_idx=3;gesture=Triste
2026-09-21 21:50:57.489595900,1790027457489595900,unity+offset,1790027457494317900,1790027456846148700,643447200,73,countdown_1,trial=11;rep=2;gesture_idx=3;gesture=Triste
2026-09-21 21:50:58.491049,1790027458491049000,unity+offset,1790027458495484000,1790027457847601800,643447200,74,hold_start,trial=11;rep=2;gesture_idx=3;gesture=Triste
2026-09-21 21:51:01.491425200,1790027461491425200,unity+offset,1790027461496406000,1790027460847978000,643447200,75,rest_start,reason=after_gesture;trial=11;rep=2;gesture_idx=3;gesture=Triste
2026-09-21 21:51:06.492956200,1790027466492956200,unity+offset,1790027466497349900,1790027465849509000,643447200,76,gesture_show,trial=12;rep=3;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:51:06.493043200,1790027466493043200,unity+offset,1790027466497941300,1790027465849596000,643447200,77,countdown_3,trial=12;rep=3;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:51:07.495413400,1790027467495413400,unity+offset,1790027467500971900,1790027466851966200,643447200,78,countdown_2,trial=12;rep=3;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:51:08.495576800,1790027468495576800,unity+offset,1790027468499957100,1790027467852129600,643447200,79,countdown_1,trial=12;rep=3;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:51:09.495841400,1790027469495841400,unity+offset,1790027469500186400,1790027468852394200,643447200,80,hold_start,trial=12;rep=3;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:51:12.498629300,1790027472498629300,unity+offset,1790027472503685500,1790027471855182100,643447200,81,rest_start,reason=after_gesture;trial=12;rep=3;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:51:17.498826700,1790027477498826700,unity+offset,1790027477503279700,1790027476855379500,643447200,82,gesture_show,trial=13;rep=3;gesture_idx=1;gesture=Disgusto
2026-09-21 21:51:17.498900900,1790027477498900900,unity+offset,1790027477503799100,1790027476855453700,643447200,83,countdown_3,trial=13;rep=3;gesture_idx=1;gesture=Disgusto
2026-09-21 21:51:18.500159800,1790027478500159800,unity+offset,1790027478505656700,1790027477856712600,643447200,84,countdown_2,trial=13;rep=3;gesture_idx=1;gesture=Disgusto
2026-09-21 21:51:19.502500700,1790027479502500700,unity+offset,1790027479506380800,1790027478859053500,643447200,85,countdown_1,trial=13;rep=3;gesture_idx=1;gesture=Disgusto
2026-09-21 21:51:20.504462700,1790027480504462700,unity+offset,1790027480509223900,1790027479861015500,643447200,86,hold_start,trial=13;rep=3;gesture_idx=1;gesture=Disgusto
2026-09-21 21:51:23.506902900,1790027483506902900,unity+offset,1790027483509988100,1790027482863455700,643447200,87,rest_start,reason=after_gesture;trial=13;rep=3;gesture_idx=1;gesture=Disgusto
2026-09-21 21:51:28.511411550,1790027488511411550,unity+offset,1790027488519142100,1790027487867563600,643847950,88,gesture_show,trial=14;rep=3;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:51:28.511580550,1790027488511580550,unity+offset,1790027488520083800,1790027487867732600,643847950,89,countdown_3,trial=14;rep=3;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:51:29.512859950,1790027489512859950,unity+offset,1790027489516767500,1790027488869012000,643847950,90,countdown_2,trial=14;rep=3;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:51:30.513841450,1790027490513841450,unity+offset,1790027490517665000,1790027489869993500,643847950,91,countdown_1,trial=14;rep=3;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:51:31.517269050,1790027491517269050,unity+offset,1790027491521550100,1790027490873421100,643847950,92,hold_start,trial=14;rep=3;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:51:34.520091050,1790027494520091050,unity+offset,1790027494524416700,1790027493876243100,643847950,93,rest_start,reason=after_gesture;trial=14;rep=3;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:51:39.520528150,1790027499520528150,unity+offset,1790027499524494500,1790027498876680200,643847950,94,gesture_show,trial=15;rep=3;gesture_idx=3;gesture=Triste
2026-09-21 21:51:39.520597050,1790027499520597050,unity+offset,1790027499526520500,1790027498876749100,643847950,95,countdown_3,trial=15;rep=3;gesture_idx=3;gesture=Triste
2026-09-21 21:51:40.521257850,1790027500521257850,unity+offset,1790027500526540300,1790027499877409900,643847950,96,countdown_2,trial=15;rep=3;gesture_idx=3;gesture=Triste
2026-09-21 21:51:41.523389750,1790027501523389750,unity+offset,1790027501528157000,1790027500879541800,643847950,97,countdown_1,trial=15;rep=3;gesture_idx=3;gesture=Triste
2026-09-21 21:51:42.526009250,1790027502526009250,unity+offset,1790027502531792300,1790027501882161300,643847950,98,hold_start,trial=15;rep=3;gesture_idx=3;gesture=Triste
2026-09-21 21:51:45.528413350,1790027505528413350,unity+offset,1790027505533818800,1790027504884565400,643847950,99,rest_start,reason=after_gesture;trial=15;rep=3;gesture_idx=3;gesture=Triste
2026-09-21 21:51:50.531884150,1790027510531884150,unity+offset,1790027510534748600,1790027509888036200,643847950,100,gesture_show,trial=16;rep=4;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:51:50.531953450,1790027510531953450,unity+offset,1790027510535772700,1790027509888105500,643847950,101,countdown_3,trial=16;rep=4;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:51:51.534109850,1790027511534109850,unity+offset,1790027511537150600,1790027510890261900,643847950,102,countdown_2,trial=16;rep=4;gesture_idx=0;gesture=Sonrisa
